objid,ra,dec
587722981750931635,204.80522118,-1.12091791
587722982824607806,204.60862863,-0.22761529
587722982824607975,204.68932031,-0.4168432
587726877273358464,336.92301862,-9.72685966
587730774416556143,338.67702763,13.64356682
587730816288096446,336.87790646,-9.66499434
587730817900413072,340.87859628,-8.64549393
587731186732171355,340.39112943,0.40083953
587731186732171355,340.39112943,0.40083953
587732482744975451,168.54538436,48.3185158
587732577776369678,167.86777569,6.9075009
587732580982128740,168.22716528,57.98749802
587732581519327290,169.27297609,58.5167514
587732703406260369,168.25088002,7.86185892
587733079735009353,168.46022083,53.08640706
587733081891930160,205.16602348,54.33286526
587733410443755586,205.71604284,52.70846874
587734892211142692,168.16588857,9.05583667
587738410870243376,168.77895849,14.78563033
587739131878703149,205.5349297,35.65429941
587739406789312595,204.60363108,33.11770825
587739407863251147,205.32189468,33.77261232
587739408400056328,205.15115731,34.29395289
587739607547576344,168.65502583,30.31414566
587739608621645902,169.33766341,31.24681552
587739608635146287,205.48532287,30.51933653
587741489834885159,168.0163093,28.48638429
587741603099770951,169.23034975,27.57241034
587741707806441533,168.16948881,25.49796059
587741727660310544,204.83061834,24.77438033
587742013814079681,168.45763304,21.52104045
587742571074289714,169.1469618,18.11834886
587742772943454344,169.16156,15.72731338
587742775090806797,168.61403278,17.25998719
587742775627939846,169.21237542,17.79542681
587742863671230493,169.32096131,16.32712867
587742865818779669,169.19410252,18.01715765
588010359618011353,168.3021103,5.19633159
588011123581059191,205.56696758,60.77690582
588013382202949684,169.25125321,50.5848225
588017110754525188,168.92272278,46.12844946
588017110754525189,168.91848434,46.12755568
588017604690640935,204.89979987,43.05278769
588017604690706476,205.12426908,42.99269032
588017605227446281,204.76314945,43.56628558
588017703999307867,168.48540061,12.30107544
588017704536244309,168.65414098,12.81766931
588017704536309772,168.67040719,12.8176075
588017721176686687,168.96587833,41.58102028
588017947211464833,205.63549881,39.6585011
588017948809953335,168.96670727,41.59103598
588017979436695605,205.06339926,38.86932251
588017990153011342,204.62769778,8.44232225
588297863116882007,168.11318306,45.26613917
588848898833711163,168.04434132,-0.97921143
587724199895564295,32.1040761,14.34956218
587724234257137746,30.93585401,14.70928831
587724234257137777,30.95748096,14.73913606
587725816408899636,159.50676096,64.26636122
587727177925984363,31.14509686,-10.10850345
587727177925984412,31.051871,-10.07850389
587727177926508588,32.33684827,-10.13309383
587727179001102453,34.21333541,-8.9640223
587727179537252417,32.49889104,-8.83643259
587727779743531088,34.59010604,-9.29104186
587727781890097155,32.24450522,-7.76680961
587727781890162754,32.45547436,-7.78244439
587727882282860602,30.81927387,-9.89065277
587727882283188229,31.45450361,-9.82156167
587729157902630942,217.41258588,3.26630213
587729158439501856,217.5076736,3.772863
587729386073358477,159.67980407,56.5540768
587730023864467493,217.66395167,7.27509189
587731513685573788,32.63821772,0.73810785
587731870702633034,159.68692936,53.50143947
587732482759524393,217.31026284,44.69898237
587732483816423467,160.55926093,47.76674669
587732483833200645,217.55089715,45.5423008
587732484353097771,159.86201449,47.94709756
587732484369743913,216.86827803,46.14657672
587733397561933966,217.09039532,49.56143107
587733412057251882,216.35391556,51.55402392
587733604792991861,216.36190677,56.32014325
587734950205522104,159.34732203,12.15655527
587734950206046343,160.50153488,12.33492364
587735348027981917,160.70187537,13.45983176
587735348564787262,160.53139845,13.74700068
587735348564787273,160.52937803,13.75024087
587736542555799809,216.74906527,8.68361861
587736584428781670,217.49318644,36.87322323
587736809916203016,217.0767641,13.78022712
587736809916203017,217.09014423,13.77796223
587736916751089740,217.0452318,13.55158903
587736961847853068,217.29074773,31.79867776
587736963458138168,216.9630414,33.18679549
587736963994747036,216.38843517,33.84812584
587738411940642859,160.91210756,14.87185529
587738616485314575,160.30049409,34.64744416
587739131346223244,217.10365595,32.39461007
587739132419899551,217.09739799,33.25373447
587739133493444629,216.9400158,34.20896711
587739380450459803,217.29869867,30.07724081
587739380987199519,217.16233648,30.63450237
587739381524267102,217.85774882,30.78699449
587739382060679217,216.74378177,31.51702424
587739406257225871,216.87056323,29.95195201
587739407330771054,216.78959251,30.94821656
587739457223720970,217.12850499,27.26592588
587739457223721020,217.19441741,27.25067166
587739457223917692,217.78701143,27.23674701
587739608103059589,217.54635524,27.53172412
587739609713344589,217.1886127,28.96424656
587739609713410096,217.31926662,28.82188424
587739706873675953,217.23752514,25.55341102
587739707410284557,216.62290296,26.16859272
587739707410415654,217.05617389,25.94742211
587739707410415672,217.03012255,25.86876985
587739707410481279,217.20620061,26.0322608
587739708484092024,217.04180241,26.93578618
587739720299577369,216.96169938,25.83807721
587739720299839570,217.63997302,25.51378999
587741830192300041,160.54605925,23.74673156
587742014884544559,160.28999135,21.3618961
587742061063110681,160.77491457,20.4222785
587742061085982748,216.60758725,19.21041614
587742062673526884,160.10271168,21.6186867
587742189918158972,217.00703085,21.29886676
587742189918158977,217.00830313,21.30284406
588011219675054190,217.86631815,59.3912426
588017604139352106,159.7894112,41.6866744
588017627776221322,216.90254114,41.25775452
588017702384828433,159.5333112,10.3808544
588017703996096547,160.99039651,11.70378959
588017713124605974,216.55082018,48.56397913
588017978904477723,217.60628523,35.32102933
588297864188002342,159.65523804,44.52307939
588848899929014527,217.39416377,-0.01822877
587722982832013381,221.54634854,-0.22294378
587725552283746329,170.05146348,67.24158945
587726033318051921,170.35412778,3.01393291
587726102561161239,222.7289759,4.94891811
587728310176776237,170.10924085,3.58561127
587728677391499379,170.23004407,63.40453176
587728918449487974,222.82436905,58.97795263
587729153595539511,169.65144795,63.28063466
587729387149721624,169.9410972,59.28052479
587730022792757308,222.22100489,6.0119897
587731501337411622,170.42315651,57.59169664
587731870168383564,169.53522364,54.8412285
587731892186513497,170.13055762,57.78140826
587731892186644546,170.52780775,57.91259371
587732135382155266,169.38496402,51.43161318
587732582056525908,170.57455416,59.0745158
587733080272601092,170.8172282,53.78723417
587733398636986422,221.83760222,48.9013159
587733399173529670,221.23250135,49.71403057
587735346958499983,170.73065192,13.44128905
587735665308991521,222.43680357,50.71089547
587735694842920971,221.45438529,50.3940325
587735697527078982,222.51156433,52.40625829
587736584967553153,222.73566719,35.57210935
587736584967618613,222.81004145,35.54226947
587736586577313944,221.14857647,37.48246463
587736916216447050,222.17739536,12.45722091
587736916753186858,221.86850233,12.76499457
587736940910936227,222.24570106,33.19304956
587736941984284675,221.58789293,34.37057709
587737826206941379,111.93337455,38.65015919
587737827281535216,112.07385196,40.76982308
587738066187977172,111.48096177,40.69971863
587738196647084124,111.64745971,43.29635251
587738409260089389,170.03909174,13.59871046
587738409260154901,170.07088778,13.58967558
587738409260482638,170.82948629,13.62977671
587738946141618210,169.41773499,38.05256826
587738946141618212,169.42142356,38.04660866
587738946141683736,169.63368291,37.94831126
587739099132067861,170.6626169,37.76510574
587739132421800142,222.11275277,31.79157201
587739607548362789,170.78041479,30.47854814
587739608621908004,170.1663045,31.22197111
587739646746165262,170.19187407,31.18304374
587739707412185157,221.28485913,24.74609795
587739719764803604,221.83544357,23.95025293
587741709417906235,170.13251689,26.96335583
587742059993366564,170.64745445,20.70391991
